OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
68,48,157,670300,3801,1260,3801,850,2951,2897,79,2792,0,18,0,8,54,2733,504,2229,2204,67,2118,0,17,0,2,25,1260,1190,70,32237301.647857,29546.363072
69,48,157,670400,5058,1817,5058,742,4316,4267,80,4142,7,25,1,12,49,3569,464,3105,3083,67,2982,4,24,1,5,22,1817,1714,103,28444866.821627,22883.19099
70,48,157,670500,4102,1439,4102,771,3331,3270,275,2885,4,99,4,3,61,3012,509,2503,2469,246,2125,4,90,3,1,34,1439,1367,72,59168829.24794,33998.167514
71,48,157,670601,8975,3027,8975,966,8009,7910,169,7645,9,62,1,24,99,6507,614,5893,5836,144,5609,8,62,1,12,57,3027,2915,112,49006557.788977,28043.865122
72,48,157,670602,1907,652,1907,508,1399,1393,36,1323,8,16,0,10,6,1349,328,1021,1017,31,963,4,14,0,5,4,652,605,47,28683389.80563,21857.930762
73,48,157,670700,3382,1202,3382,750,2632,2578,482,1827,5,261,0,3,54,2426,473,1953,1920,399,1303,3,213,0,2,33,1202,1105,97,318077668.984878,99347.737316
74,48,157,670800,14354,4392,14354,4745,9609,9418,665,8605,14,103,2,29,191,9247,2908,6339,6261,528,5618,11,85,2,17,78,4392,4138,254,158215596.821904,65736.574002
75,48,157,670901,10214,3514,10214,965,9249,8953,2931,3783,25,2180,4,30,296,7411,630,6781,6641,2348,2664,22,1583,3,21,140,3514,3294,220,147208504.263768,54998.332584
76,48,157,670902,5020,1585,5020,1795,3225,3138,285,2768,3,68,0,14,87,3232,1143,2089,2050,232,1750,2,60,0,6,39,1585,1483,102,111159670.014829,51739.779046
77,48,157,671001,5412,2337,5412,584,4828,4755,3420,1137,8,168,6,16,73,4513,426,4087,4042,2990,879,7,151,6,9,45,2337,2237,100,53669279.644814,31334.862946
78,48,157,671002,6459,2368,6459,1268,5191,5053,2035,2835,12,156,0,15,138,4795,817,3978,3903,1740,2008,12,136,0,7,75,2368,2217,151,41509080.969326,33310.634427
79,48,157,671100,8174,2723,8174,3386,4788,4712,1208,2823,17,635,0,29,76,5927,2189,3738,3693,1067,2053,14,542,0,17,45,2723,2595,128,76679111.462198,39351.148412
80,48,157,671200,6153,1983,6153,1871,4282,4226,532,3158,12,500,4,20,56,4400,1253,3147,3107,474,2184,7,424,2,16,40,1983,1894,89,35708473.360689,23873.64522
81,48,157,671300,3834,1317,3834,1282,2552,2489,745,1300,7,425,0,12,63,2627,814,1813,1771,609,813,4,336,0,9,42,1317,1282,35,27492595.659488,26245.709665
82,48,157,671400,8877,3306,8877,2021,6856,6641,1184,2177,31,3213,15,21,215,6342,1286,5056,4918,972,1461,16,2448,7,14,138,3306,3087,219,36115957.68176,24692.407627
83,48,157,671501,7785,2561,7785,853,6932,6756,2237,1575,16,2910,4,14,176,5800,580,5220,5125,1733,1184,14,2185,3,6,95,2561,2506,55,46388753.157341,27728.66883
